porcentaje_aporte,anos_aporte,edad_jubilacion,capital_acumulado,capital_millones,salario_final,salario_final_sm,anos_pension,salario_inicial,crecimiento_salarial,pension_mensual,pension_mensual_sm
16.0,25,50,743897742.1923132,743.8977421923132,5820864.055146416,2.065369552295206,17.48542559744253,2818316,106.5369552295206,5820864.055146416,2.065369552295206
16.0,26,51,833603175.1794637,833.6031751794637,5879072.69569788,2.0860232478181584,21.182614905746842,2818316,108.60232478181584,5879072.69569788,2.0860232478181584
16.0,27,52,932820035.4062436,932.8200354062436,5937863.422654859,2.10688348029634,26.418440308136308,2818316,110.68834802963399,5937863.422654859,2.10688348029634
16.0,28,53,1042545474.5565141,1042.5454745565141,5997242.056881407,2.127952315099303,34.906947136248675,2818316,112.79523150993032,5997242.056881407,2.127952315099303
16.0,29,54,1163881070.9352734,1163.8810709352733,6057214.477450222,2.149231838250296,40.0,2818316,114.92318382502961,6057214.477450222,2.149231838250296
16.0,30,55,1299166499.1400235,1299.1664991400235,6729565.284447197,2.3877965722960792,40.0,2818316,138.77965722960792,6729565.284447197,2.3877965722960792
16.0,31,56,1448859438.9321382,1448.8594389321381,6796860.937291669,2.41167453801904,40.0,2818316,141.167453801904,6796860.937291669,2.41167453801904
16.0,32,57,1614363717.929693,1614.363717929693,6864829.546664585,2.4357912833992303,40.0,2818316,143.57912833992305,6864829.546664585,2.4357912833992303
16.0,33,58,1797336355.284299,1797.3363552842989,6933477.842131231,2.4601491962332225,40.0,2818316,146.01491962332224,6933477.842131231,2.4601491962332225
16.0,34,59,1999607895.3589709,1999.6078953589708,7002812.620552544,2.484750688195555,40.0,2818316,148.47506881955547,7002812.620552544,2.484750688195555
16.0,35,60,2224498584.2452435,2224.4985842452434,7780124.821433877,2.760558014585262,40.0,2818316,176.0558014585262,7780124.821433877,2.760558014585262
22.0,25,50,1022859395.514431,1022.859395514431,5820864.055146416,2.065369552295206,36.19058464588061,2818316,106.5369552295206,5820864.055146416,2.065369552295206
22.0,26,51,1146204365.8717623,1146.2043658717623,5879072.69569788,2.0860232478181584,40.0,2818316,108.60232478181584,5879072.69569788,2.0860232478181584
22.0,27,52,1282627548.6835856,1282.6275486835857,5937863.422654859,2.10688348029634,40.0,2818316,110.68834802963399,5937863.422654859,2.10688348029634
22.0,28,53,1433500027.5152066,1433.5000275152065,5997242.056881407,2.127952315099303,40.0,2818316,112.79523150993032,5997242.056881407,2.127952315099303
22.0,29,54,1600336472.5360014,1600.3364725360013,6057214.477450222,2.149231838250296,40.0,2818316,114.92318382502961,6057214.477450222,2.149231838250296
22.0,30,55,1786353936.3175323,1786.3539363175323,6729565.284447197,2.3877965722960792,40.0,2818316,138.77965722960792,6729565.284447197,2.3877965722960792
22.0,31,56,1992181728.5316918,1992.1817285316918,6796860.937291669,2.41167453801904,40.0,2818316,141.167453801904,6796860.937291669,2.41167453801904
22.0,32,57,2219750112.1533303,2219.7501121533305,6864829.546664585,2.4357912833992303,40.0,2818316,143.57912833992305,6864829.546664585,2.4357912833992303
22.0,33,58,2471337488.5159154,2471.3374885159155,6933477.842131231,2.4601491962332225,40.0,2818316,146.01491962332224,6933477.842131231,2.4601491962332225
22.0,34,59,2749460856.1185927,2749.460856118593,7002812.620552544,2.484750688195555,40.0,2818316,148.47506881955547,7002812.620552544,2.484750688195555
22.0,35,60,3058685553.337216,3058.685553337216,7780124.821433877,2.760558014585262,40.0,2818316,176.0558014585262,7780124.821433877,2.760558014585262
