escenario,ano_carrera,salario_pyg,salario_millones,capital_pyg,aporte_anual_pyg
16.0%_25a,1,2818316.0,2.818316,450930.56,5411166.72
16.0%_25a,2,2846499.16,2.84649916,6221009.525584001,5465278.3872
16.0%_25a,3,2874964.1516,2.8749641516,12652519.765467241,5519931.171072
16.0%_25a,4,2903713.793116,2.903713793116,19815294.06334755,5575130.48278272
16.0%_25a,5,2932750.93104716,2.9327509310471602,27786483.330772348,5630881.787610548
16.0%_25a,6,3258286.2843933953,3.2582862843933955,37246846.141406186,6255909.66603532
16.0%_25a,7,3290869.1472373293,3.2908691472373293,47763340.110125706,6318468.762695672
16.0%_25a,8,3323777.8387097027,3.323777838709703,59447211.04560514,6381653.45032263
16.0%_25a,9,3357015.6170968,3.3570156170968,72421360.19713986,6445469.984825857
16.0%_25a,10,3390585.773267768,3.3905857732677678,86821564.79709391,6509924.684674114
16.0%_25a,11,3766940.7941004904,3.76694079410049,103486317.33511536,7232526.324672941
16.0%_25a,12,3804610.202041495,3.804610202041495,121971821.23122367,7304851.587919671
16.0%_25a,13,3842656.30406191,3.84265630406191,142469490.28518903,7377900.103798868
16.0%_25a,14,3881082.8671025294,3.8810828671025295,165190789.3963061,7451679.104836857
16.0%_25a,15,3919893.6957735545,3.9198936957735544,190369334.251265,7526195.895885225
16.0%_25a,16,4355001.89600442,4.35500189600442,219059182.8465435,8361603.6403284855
16.0%_25a,17,4398551.914964464,4.398551914964464,250840790.40925074,8445219.676731769
16.0%_25a,18,4442537.434114108,4.442537434114108,286038780.07382137,8529671.873499086
16.0%_25a,19,4486962.808455249,4.4869628084552495,325011776.0145502,8614968.592234079
16.0%_25a,20,4531832.436539802,4.531832436539802,368155963.88633084,8701118.278156418
16.0%_25a,21,5034865.83699572,5.03486583699572,416829256.0838628,9666942.407031782
16.0%_25a,22,5085214.495365677,5.085214495365677,470700503.5290865,9763611.831102101
16.0%_25a,23,5136066.640319334,5.136066640319334,530315012.31560254,9861247.949413123
16.0%_25a,24,5187427.306722527,5.187427306722527,596275199.3333197,9959860.428907253
16.0%_25a,25,5239301.579789753,5.239301579789753,669246572.6163429,10059459.033196326
16.0%_26a,1,2818316.0,2.818316,450930.56,5411166.72
16.0%_26a,2,2846499.16,2.84649916,6221009.525584001,5465278.3872
16.0%_26a,3,2874964.1516,2.8749641516,12652519.765467241,5519931.171072
16.0%_26a,4,2903713.793116,2.903713793116,19815294.06334755,5575130.48278272
16.0%_26a,5,2932750.93104716,2.9327509310471602,27786483.330772348,5630881.787610548
16.0%_26a,6,3258286.2843933953,3.2582862843933955,37246846.141406186,6255909.66603532
16.0%_26a,7,3290869.1472373293,3.2908691472373293,47763340.110125706,6318468.762695672
16.0%_26a,8,3323777.8387097027,3.323777838709703,59447211.04560514,6381653.45032263
16.0%_26a,9,3357015.6170968,3.3570156170968,72421360.19713986,6445469.984825857
16.0%_26a,10,3390585.773267768,3.3905857732677678,86821564.79709391,6509924.684674114
16.0%_26a,11,3766940.7941004904,3.76694079410049,103486317.33511536,7232526.324672941
16.0%_26a,12,3804610.202041495,3.804610202041495,121971821.23122367,7304851.587919671
16.0%_26a,13,3842656.30406191,3.84265630406191,142469490.28518903,7377900.103798868
16.0%_26a,14,3881082.8671025294,3.8810828671025295,165190789.3963061,7451679.104836857
16.0%_26a,15,3919893.6957735545,3.9198936957735544,190369334.251265,7526195.895885225
16.0%_26a,16,4355001.89600442,4.35500189600442,219059182.8465435,8361603.6403284855
16.0%_26a,17,4398551.914964464,4.398551914964464,250840790.40925074,8445219.676731769
16.0%_26a,18,4442537.434114108,4.442537434114108,286038780.07382137,8529671.873499086
16.0%_26a,19,4486962.808455249,4.4869628084552495,325011776.0145502,8614968.592234079
16.0%_26a,20,4531832.436539802,4.531832436539802,368155963.88633084,8701118.278156418
16.0%_26a,21,5034865.83699572,5.03486583699572,416829256.0838628,9666942.407031782
16.0%_26a,22,5085214.495365677,5.085214495365677,470700503.5290865,9763611.831102101
16.0%_26a,23,5136066.640319334,5.136066640319334,530315012.31560254,9861247.949413123
16.0%_26a,24,5187427.306722527,5.187427306722527,596275199.3333197,9959860.428907253
16.0%_26a,25,5239301.579789753,5.239301579789753,669246572.6163429,10059459.033196326
16.0%_26a,26,5820864.055146416,5.820864055146416,751028228.2927392,11176058.985881118
16.0%_27a,1,2818316.0,2.818316,450930.56,5411166.72
16.0%_27a,2,2846499.16,2.84649916,6221009.525584001,5465278.3872
16.0%_27a,3,2874964.1516,2.8749641516,12652519.765467241,5519931.171072
16.0%_27a,4,2903713.793116,2.903713793116,19815294.06334755,5575130.48278272
16.0%_27a,5,2932750.93104716,2.9327509310471602,27786483.330772348,5630881.787610548
16.0%_27a,6,3258286.2843933953,3.2582862843933955,37246846.141406186,6255909.66603532
16.0%_27a,7,3290869.1472373293,3.2908691472373293,47763340.110125706,6318468.762695672
16.0%_27a,8,3323777.8387097027,3.323777838709703,59447211.04560514,6381653.45032263
16.0%_27a,9,3357015.6170968,3.3570156170968,72421360.19713986,6445469.984825857
16.0%_27a,10,3390585.773267768,3.3905857732677678,86821564.79709391,6509924.684674114
