documento_anon,cargo,funcion,edad,antiguedad,salario_total
00032bb5c73fd688d913b639dd9c7cb03083ec503b11adfc6b550966421dd003,AUXILIAR DE ENSEÑANZA III,,46.0,2026,2119414
00085d95d1105dfe72b5c69bbc57dc52e44350e8eaa906574e69a6fbd5cec41e,PERSONAL DE SERVICIOS I,PERSONAL DE SERVICIOS I,32.0,12,4215240
001092539a1f41f1e5121eea768352389a1a956e462e4317b42507f8570c7c65,ASISTENTE DE ENFERMERIA,ASISTENTE DE ENFERMERIA,53.0,11,4550500
00134c315b83cc945bd0cf206ebaef5552ff1c022f54645ca2a12ee9e37e522a,PROFESOR,,,2026,0
00137359af37f107e0710e084a35d9ff9bc81a8a6a5fd5541170455189efbab8,PROFESOR,PROFESOR - CURSOS BASICOS - CALCULO 1 - 1º,43.0,1,985943
00207e504a7dde14cf0fb8602c91bc3c26899fe6c0f96ef4cbc25ed00c07c2da,JEFE DE SECCION,COORD. DE CONTROL DE PERSONAL DE PORTERÍA,57.0,2026,6650000
00217d6dd309c50d200746e119c05e536fd58a585a8aef5df532ad46ef7ed9e5,DOCENTE TECNICO,,26.0,2026,2798309
0024f6767b5675ccf15917ef9d0ec867da3c002d7cd9ccf06bba69feb63655d1,PROFESIONAL II,PROFESIONAL II,43.0,14,6100612
002b35490a31268454d9a195f56fd62f011666c7a2d5c3e022b4b3a2cbf95f4d,PROFESOR,PROFESOR,35.0,3,7003558
0038a0bf6f7dbd744486ce2c34e1f9e5f1551a2478911ba7056060898209f53a,PROFESOR,ENCARGADO DE CATEDRA DE CÁTEDRA,53.0,2026,3957860
0039350c5706aec8dbdb3521d9c61680c0ddefc4bbbd6cfe4b2081389fe9cade,DOCENTE,JEFE DE DISCIPLINA BACHILLERATO TECNICO INDUSTRIAL,35.0,1,7172807
003f1e89a9d20f428bdcd19dbf1cf80cc5bfe8473296c242efea71a6ffd3034c,PERSONAL DE SERVICIOS,,37.0,3,2798309
0040dd95f9a198ebdb28919cc937ae2cf9943a59936503ffe3f287881301f580,PROFESOR,,,2026,0
00427a80523443b56ac299088d8927a6fe5a1b621c72b06892d48828517e59ac,PROFESOR,PROFESOR,40.0,2026,7481114
004b760ff5d4b5e3278bf08260de35532e5d0dbbbea63dd460eb913546b57c4c,PROFESOR ASISTENTE,PROFESOR,49.0,6,1985972
004bf8519146bafc5428e04489717fc4760509fd5f60782a7cd66e573053f88f,AUXILIAR DE LA ENSEÑANZA II,AUXILIAR DE LA ENSEÑANZA II,37.0,16,3990682
00500a04a955b8e4bee8b9caec711fdc12a5ceed37222ea7e0a47aed4ecf1e2e,DOCENTE MÉDICO III,MEDICO RESIDENTE 1,29.0,1,5807958
0052c8c2986d195f6876935a5a03deb360e069715a6a5cdcc8b0d5f8a65ed209,PROFESOR,ASISTENTE,58.0,2026,3555422
0057621b0e846e4f83b700598f502d9b4dadcf1dff57168c31922861788cd68b,TECNICO II,TECNICO II,42.0,19,5082926
005ea96aeb6ac3cec591e7a1b51ff9e7b9587ddbf8572e15f7cda23fa62e4a98,PROFESOR ASISTENTE,PROFESOR ASISTENTE,43.0,12,5254577
0061d022f0405420e26a9a70b096bc26209e26a4a40267a4002306ba4b7fe289,ASISTENTE DE ENFERMERIA,ASISTENTE DE ENFERMERIA,55.0,19,4800500
0069e6750d2ac38560663bca1cfa810e1fbbe090d2980bf436e4f4a1d0a126eb,PROFESIONAL II,ENCARGADO DE BIBLIOTECA DEL EDIFICIO HISTORICO,68.0,14,6334972
006a0a625413dbef3df684eb99060f57f4b91642222972a00767be1d34fd9eeb,JEFE DE DEPARTAMENTO,JEFE DE DPTO.,46.0,25,11170248
006c617278a0ebe4b8ddeeeb95a08e4564b0cfffdc00ae235206a3cb859e0b6b,DIRECTOR DE GESTION ACADEMICA,DIRECTOR DE GESTION ACADEMICA,48.0,17,17336437
0073e9621ef8df8c9c532de94f30e8d368a090939257809f48e774b32a95ce0e,PROFESOR,PROFESOR,59.0,2026,8917931
00776290fef972edf37cbb79601c5e1b44cf6275c255e73706aee1f55829021e,PROFESOR ASISTENTE,,64.0,2026,3255278
00794e8ec86ccff02dc2a99754eb57a6f982f43dba1818608f866a40f3262c58,AUXILIAR DE SERV GRALES,AUXILIAR DE SERV GRALES,37.0,2,2798309
007b2f63282f5d6c30493c93dc3646e14f5234c45c08c2568048f6550bd53e2d,PROFESIONAL DE SALUD,ENFERMERO/A ASISTENCIAL,52.0,2,3600000
007fb311ea70557b56a6959f22053e46b1129bc33b2a8eb00efe21585e9aef6f,DOCENTE TECNICO I,DOCENTE TECNICO I,41.0,12,9041845
00825ef5e67faaa608fd5fcda8266b69928dc8e7541fe9920eba9cda40a00221,AUXILIAR DE ENSEÑANZA III,,,2026,0
00828f4c1dec5bb7ad9dfeddc3197822bf22ef26ed6f33fd3380ddc6c40c7644,DOCENTE INVESTIGADOR I,DOCENTE INVESTIGADOR,35.0,3,6038121
0085609dbae668902fd3913fc2e502b511199c4f85815332a6d23c887779c132,COORDINADOR DE GESTION ACADEMICA,COORDINADOR DE GESTION ACADEMICA,,1,0
008a658e308841575258fec6c5cc0189d59bef52f7f9849a925f87a6c854eb58,ENFERMERO/A ASIST. - NIVEL,ENFERMERO/A ASISTENCIAL,39.0,11,6015500
008c908bdf96bcb1a394984cfee141f5f0146655d0203aaf4c0d4d4c54ddc61f,PROFESOR,PROFESOR,48.0,2026,9078296
008f562711c2c6874266fab382bec6c05a1b0ad1dd5c6f4e4a5bb826c4687549,PROFESOR,ENCARGADO DE CATEDRA DE CÁTEDRA,69.0,2026,985944
0094944866c21a937f6840ac31093866580bca85e0923a77699f9fff8f8fb281,ENFERMERO/A ASIST - NIVEL II,ENFERMERO/A ASISTENCIAL,33.0,11,6270000
009a38396b4538af86830fbd34f38d67a589c66624545ff856a3d675619f4020,DOCENTE ENCARGADO DE CATEDRA,ENCARGADO DE CATEDRA,31.0,4,1294822
00a0592c6832559cd6d2d99944950b16ddf06af124b3ff6267f30fa93fbdaf86,DIRECTOR GENERAL,BIOLOGA: RESPONSABLE DE EXTRACCION. ANALISIS Y RESULTADOS DE CARIOTIPO Y CROMATINA SEXUAL.,62.0,32,16594013
00a56fc319f5a3018c981c4d7d0fd41ae05e6485c85f7e5269cca972c1d16f5f,AUXILIAR ENFERMERIA IV,ENFERMERO AUXILIAR,61.0,40,5810000
