salario_inicial_sm_2024,edad,salario_pyg_real,salario_sm_2024_ref,capital_pyg_real,aporte_mensual_pyg_real,anos_experiencia
1,30.083333333333332,2818316.0,1.0,620029.52,620029.52,0.08333333333333215
1,30.166666666666668,2818316.0,1.0,1244192.5701333333,620029.52,0.16666666666666785
1,30.25,2818316.0,1.0,1872516.7072675554,620029.52,0.25
1,30.333333333333332,2818316.0,1.0,2505029.671982672,620029.52,0.33333333333333215
1,30.416666666666668,2818316.0,1.0,3141759.3897958896,620029.52,0.41666666666666785
1,30.5,2818316.0,1.0,3782733.972394529,620029.52,0.5
1,30.583333333333332,2818316.0,1.0,4427981.718877159,620029.52,0.5833333333333321
1,30.666666666666668,2818316.0,1.0,5077531.117003007,620029.52,0.6666666666666679
1,30.75,2818316.0,1.0,5731410.844449693,620029.52,0.75
1,30.833333333333332,2818316.0,1.0,6389649.770079358,620029.52,0.8333333333333321
1,30.916666666666668,2818316.0,1.0,7052276.955213219,620029.52,0.9166666666666679
1,31.0,2846499.16,1.01,7719321.65491464,626229.8152000001,1.0
1,31.083333333333332,2846499.16,1.01,8397013.614480738,626229.8152000001,1.0833333333333321
1,31.166666666666668,2846499.16,1.01,9079223.520443942,626229.8152000001,1.1666666666666679
1,31.25,2846499.16,1.01,9765981.492446903,626229.8152000001,1.25
1,31.333333333333332,2846499.16,1.01,10457317.850929882,626229.8152000001,1.3333333333333321
1,31.416666666666668,2846499.16,1.01,11153263.118469413,626229.8152000001,1.4166666666666679
1,31.5,2846499.16,1.01,11853848.021125875,626229.8152000001,1.5
1,31.583333333333332,2846499.16,1.01,12559103.489800047,626229.8152000001,1.5833333333333321
1,31.666666666666668,2846499.16,1.01,13269060.661598712,626229.8152000001,1.6666666666666679
1,31.75,2846499.16,1.01,13983750.88120937,626229.8152000001,1.75
1,31.833333333333332,2846499.16,1.01,14703205.702284098,626229.8152000001,1.8333333333333321
1,31.916666666666668,2846499.16,1.01,15427456.888832659,626229.8152000001,1.9166666666666679
1,32.0,2874964.1516,1.0201,16156536.416624874,632492.113352,2.0
1,32.083333333333336,2874964.1516,1.0201,16896738.77275437,632492.113352,2.0833333333333357
1,32.166666666666664,2874964.1516,1.0201,17641875.811258066,632492.113352,2.1666666666666643
1,32.25,2874964.1516,1.0201,18391980.430018455,632492.113352,2.25
1,32.333333333333336,2874964.1516,1.0201,19147085.746237244,632492.113352,2.3333333333333357
1,32.416666666666664,2874964.1516,1.0201,19907225.097897492,632492.113352,2.4166666666666643
1,32.5,2874964.1516,1.0201,20672432.045235474,632492.113352,2.5
1,32.583333333333336,2874964.1516,1.0201,21442740.372222375,632492.113352,2.5833333333333357
1,32.666666666666664,2874964.1516,1.0201,22218184.088055857,632492.113352,2.6666666666666643
1,32.75,2874964.1516,1.0201,22998797.428661563,632492.113352,2.75
1,32.833333333333336,2874964.1516,1.0201,23784614.85820464,632492.113352,2.8333333333333357
1,32.916666666666664,2874964.1516,1.0201,24575671.070611335,632492.113352,2.9166666666666643
1,33.0,2903713.793116,1.030301,25372000.991100743,638817.03448552,3.0
1,33.083333333333336,2903713.793116,1.030301,26179964.698860265,638817.03448552,3.0833333333333357
1,33.166666666666664,2903713.793116,1.030301,26993314.831338186,638817.03448552,3.1666666666666643
1,33.25,2903713.793116,1.030301,27812087.298032623,638817.03448552,3.25
1,33.333333333333336,2903713.793116,1.030301,28636318.247838356,638817.03448552,3.3333333333333357
1,33.416666666666664,2903713.793116,1.030301,29466044.070642795,638817.03448552,3.4166666666666643
1,33.5,2903713.793116,1.030301,30301301.3989326,638817.03448552,3.5
1,33.583333333333336,2903713.793116,1.030301,31142127.109411,638817.03448552,3.5833333333333357
1,33.666666666666664,2903713.793116,1.030301,31988558.324625924,638817.03448552,3.6666666666666643
1,33.75,2903713.793116,1.030301,32840632.414608948,638817.03448552,3.75
1,33.833333333333336,2903713.793116,1.030301,33698386.998525195,638817.03448552,3.8333333333333357
1,33.916666666666664,2903713.793116,1.030301,34561859.94633421,638817.03448552,3.9166666666666643
1,34.0,2932750.93104716,1.04060401,35431089.38046196,645205.2048303753,4.0
1,34.083333333333336,2932750.93104716,1.04060401,36312501.84782875,645205.2048303753,4.083333333333336
1,34.166666666666664,2932750.93104716,1.04060401,37199790.398311324,645205.2048303753,4.166666666666664
1,34.25,2932750.93104716,1.04060401,38092994.205797106,645205.2048303753,4.25
1,34.333333333333336,2932750.93104716,1.04060401,38992152.70533279,645205.2048303753,4.333333333333336
1,34.416666666666664,2932750.93104716,1.04060401,39897305.59486539,645205.2048303753,4.416666666666664
1,34.5,2932750.93104716,1.04060401,40808492.836994864,645205.2048303753,4.5
1,34.583333333333336,2932750.93104716,1.04060401,41725754.660738535,645205.2048303753,4.583333333333336
1,34.666666666666664,2932750.93104716,1.04060401,42649131.563307166,645205.2048303753,4.666666666666664
1,34.75,2932750.93104716,1.04060401,43578664.31189292,645205.2048303753,4.75
1,34.833333333333336,2932750.93104716,1.04060401,44514393.945469245,645205.2048303753,4.833333333333336
1,34.916666666666664,2932750.93104716,1.04060401,45456361.77660275,645205.2048303753,4.916666666666664
1,35.0,3258286.2843933953,1.1561110551100002,46404609.393277146,716822.982566547,5.0
1,35.083333333333336,3258286.2843933953,1.1561110551100002,47430796.43846554,716822.982566547,5.083333333333336
1,35.166666666666664,3258286.2843933953,1.1561110551100002,48463824.73062186,716822.982566547,5.166666666666664
1,35.25,3258286.2843933953,1.1561110551100002,49503739.878059216,716822.982566547,5.25
1,35.333333333333336,3258286.2843933953,1.1561110551100002,50550587.793146156,716822.982566547,5.333333333333336
1,35.416666666666664,3258286.2843933953,1.1561110551100002,51604414.69433368,716822.982566547,5.416666666666664
1,35.5,3258286.2843933953,1.1561110551100002,52665267.10819578,716822.982566547,5.5
1,35.583333333333336,3258286.2843933953,1.1561110551100002,53733191.87148363,716822.982566547,5.583333333333336
1,35.666666666666664,3258286.2843933953,1.1561110551100002,54808236.1331934,716822.982566547,5.666666666666664
1,35.75,3258286.2843933953,1.1561110551100002,55890447.35664791,716822.982566547,5.75
1,35.833333333333336,3258286.2843933953,1.1561110551100002,56979873.32159211,716822.982566547,5.833333333333336
1,35.916666666666664,3258286.2843933953,1.1561110551100002,58076562.1263026,716822.982566547,5.916666666666664
1,36.0,3290869.1472373293,1.1676721656611002,59180562.18971116,723991.2123922125,6.0
1,36.083333333333336,3290869.1472373293,1.1676721656611002,60299090.483368106,723991.2123922125,6.083333333333336
1,36.166666666666664,3290869.1472373293,1.1676721656611002,61425075.6323161,723991.2123922125,6.166666666666664
1,36.25,3290869.1472373293,1.1676721656611002,62558567.34892374,723991.2123922125,6.25
1,36.333333333333336,3290869.1472373293,1.1676721656611002,63699615.676975444,723991.2123922125,6.333333333333336
1,36.416666666666664,3290869.1472373293,1.1676721656611002,64848270.99388082,723991.2123922125,6.416666666666664
1,36.5,3290869.1472373293,1.1676721656611002,66004584.0128989,723991.2123922125,6.5
1,36.583333333333336,3290869.1472373293,1.1676721656611002,67168605.7853771,723991.2123922125,6.583333333333336
1,36.666666666666664,3290869.1472373293,1.1676721656611002,68340387.70300515,723991.2123922125,6.666666666666664
1,36.75,3290869.1472373293,1.1676721656611002,69519981.50008406,723991.2123922125,6.75
1,36.833333333333336,3290869.1472373293,1.1676721656611002,70707439.25581016,723991.2123922125,6.833333333333336
1,36.916666666666664,3290869.1472373293,1.1676721656611002,71902813.39657444,723991.2123922125,6.916666666666664
1,37.0,3323777.8387097027,1.1793488873177111,73106156.69827715,731231.1245161346,7.0
1,37.083333333333336,3323777.8387097027,1.1793488873177111,74324762.20078178,731231.1245161346,7.083333333333336
1,37.166666666666664,3323777.8387097027,1.1793488873177111,75551491.73996978,731231.1245161346,7.166666666666664
1,37.25,3323777.8387097027,1.1793488873177111,76786399.4760857,731231.1245161346,7.25
1,37.333333333333336,3323777.8387097027,1.1793488873177111,78029539.9304424,731231.1245161346,7.333333333333336
1,37.416666666666664,3323777.8387097027,1.1793488873177111,79280967.98782814,731231.1245161346,7.416666666666664
1,37.5,3323777.8387097027,1.1793488873177111,80540738.89892977,731231.1245161346,7.5
1,37.583333333333336,3323777.8387097027,1.1793488873177111,81808908.2827721,731231.1245161346,7.583333333333336
1,37.666666666666664,3323777.8387097027,1.1793488873177111,83085532.12917337,731231.1245161346,7.666666666666664
1,37.75,3323777.8387097027,1.1793488873177111,84370666.80121732,731231.1245161346,7.75
1,37.833333333333336,3323777.8387097027,1.1793488873177111,85664369.03774156,731231.1245161346,7.833333333333336
1,37.916666666666664,3323777.8387097027,1.1793488873177111,86966695.95584263,731231.1245161346,7.916666666666664
1,38.0,3357015.6170968,1.1911423761908884,88277705.0533977,738543.435761296,8.0
1,38.083333333333336,3357015.6170968,1.1911423761908884,89604766.52284831,738543.435761296,8.083333333333336
1,38.166666666666664,3357015.6170968,1.1911423761908884,90940675.06876193,738543.435761296,8.166666666666664
1,38.25,3357015.6170968,1.1911423761908884,92285489.67164831,738543.435761296,8.25
1,38.333333333333336,3357015.6170968,1.1911423761908884,93639269.7052206,738543.435761296,8.333333333333336
1,38.416666666666664,3357015.6170968,1.1911423761908884,95002074.9390167,738543.435761296,8.416666666666664
1,38.5,3357015.6170968,1.1911423761908884,96373965.54103811,738543.435761296,8.5
1,38.583333333333336,3357015.6170968,1.1911423761908884,97755002.08040632,738543.435761296,8.583333333333336
1,38.666666666666664,3357015.6170968,1.1911423761908884,99145245.530037,738543.435761296,8.666666666666664
1,38.75,3357015.6170968,1.1911423761908884,100544757.26933187,738543.435761296,8.75
1,38.833333333333336,3357015.6170968,1.1911423761908884,101953599.08688872,738543.435761296,8.833333333333336
1,38.916666666666664,3357015.6170968,1.1911423761908884,103371833.18322927,738543.435761296,8.916666666666664
1,39.0,3390585.773267768,1.2030537999527973,104799522.17354542,745928.8701189089,9.0
1,39.083333333333336,3390585.773267768,1.2030537999527973,106244114.5248213,745928.8701189089,9.083333333333336
1,39.166666666666664,3390585.773267768,1.2030537999527973,107698337.49177235,745928.8701189089,9.166666666666664
1,39.25,3390585.773267768,1.2030537999527973,109162255.27850308,745928.8701189089,9.25
1,39.333333333333336,3390585.773267768,1.2030537999527973,110635932.51714534,745928.8701189089,9.333333333333336
1,39.416666666666664,3390585.773267768,1.2030537999527973,112119434.27071188,745928.8701189089,9.416666666666664
1,39.5,3390585.773267768,1.2030537999527973,113612826.03596887,745928.8701189089,9.5
1,39.583333333333336,3390585.773267768,1.2030537999527973,115116173.74632756,745928.8701189089,9.583333333333336
1,39.666666666666664,3390585.773267768,1.2030537999527973,116629543.77475533,745928.8701189089,9.666666666666664
1,39.75,3390585.773267768,1.2030537999527973,118153002.93670593,745928.8701189089,9.75
1,39.833333333333336,3390585.773267768,1.2030537999527973,119686618.49306954,745928.8701189089,9.833333333333336
1,39.916666666666664,3390585.773267768,1.2030537999527973,121230458.15314224,745928.8701189089,9.916666666666664
1,40.0,3766940.7941004904,1.3365927717475579,122784590.07761544,828726.9747021078,10.0
1,40.083333333333336,3766940.7941004904,1.3365927717475579,124431880.98616831,828726.9747021078,10.083333333333336
1,40.166666666666664,3766940.7941004904,1.3365927717475579,126090153.83411153,828726.9747021078,10.166666666666664
1,40.25,3766940.7941004904,1.3365927717475579,127759481.83437437,828726.9747021078,10.25
1,40.333333333333336,3766940.7941004904,1.3365927717475579,129439938.68797229,828726.9747021078,10.333333333333336
1,40.416666666666664,3766940.7941004904,1.3365927717475579,131131598.58726087,828726.9747021078,10.416666666666664
1,40.5,3766940.7941004904,1.3365927717475579,132834536.21921137,828726.9747021078,10.5
1,40.583333333333336,3766940.7941004904,1.3365927717475579,134548826.76870823,828726.9747021078,10.583333333333336
1,40.666666666666664,3766940.7941004904,1.3365927717475579,136274545.92186838,828726.9747021078,10.666666666666664
1,40.75,3766940.7941004904,1.3365927717475579,138011769.86938295,828726.9747021078,10.75
1,40.833333333333336,3766940.7941004904,1.3365927717475579,139760575.30988094,828726.9747021078,10.833333333333336
1,40.916666666666664,3766940.7941004904,1.3365927717475579,141521039.4533156,828726.9747021078,10.916666666666664
1,41.0,3804610.202041495,1.3499586994650334,143293240.02437314,837014.244449129,11.0
1,41.083333333333336,3804610.202041495,1.3499586994650334,145085542.53565142,837014.244449129,11.083333333333336
1,41.166666666666664,3804610.202041495,1.3499586994650334,146889793.73033822,837014.244449129,11.166666666666664
1,41.25,3804610.202041495,1.3499586994650334,148706073.26632294,837014.244449129,11.25
1,41.333333333333336,3804610.202041495,1.3499586994650334,150534461.33254755,837014.244449129,11.333333333333336
1,41.416666666666664,3804610.202041495,1.3499586994650334,152375038.652547,837014.244449129,11.416666666666664
1,41.5,3804610.202041495,1.3499586994650334,154227886.48801312,837014.244449129,11.5
1,41.583333333333336,3804610.202041495,1.3499586994650334,156093086.64238232,837014.244449129,11.583333333333336
1,41.666666666666664,3804610.202041495,1.3499586994650334,157970721.46444732,837014.244449129,11.666666666666664
1,41.75,3804610.202041495,1.3499586994650334,159860873.85199276,837014.244449129,11.75
1,41.833333333333336,3804610.202041495,1.3499586994650334,161763627.25545517,837014.244449129,11.833333333333336
1,41.916666666666664,3804610.202041495,1.3499586994650334,163679065.68160734,837014.244449129,11.916666666666664
1,42.0,3842656.30406191,1.3634582864596838,165607273.69726717,845384.3868936202,12.0
1,42.083333333333336,3842656.30406191,1.3634582864596838,167556706.5754759,845384.3868936202,12.083333333333336
1,42.166666666666664,3842656.30406191,1.3634582864596838,169519135.6728727,845384.3868936202,12.166666666666664
1,42.25,3842656.30406191,1.3634582864596838,171494647.6309188,845384.3868936202,12.25
1,42.333333333333336,3842656.30406191,1.3634582864596838,173483329.6686852,845384.3868936202,12.333333333333336
1,42.416666666666664,3842656.30406191,1.3634582864596838,175485269.5867034,845384.3868936202,12.416666666666664
1,42.5,3842656.30406191,1.3634582864596838,177500555.7708417,845384.3868936202,12.5
1,42.583333333333336,3842656.30406191,1.3634582864596838,179529277.19620758,845384.3868936202,12.583333333333336
1,42.666666666666664,3842656.30406191,1.3634582864596838,181571523.43107593,845384.3868936202,12.666666666666664
1,42.75,3842656.30406191,1.3634582864596838,183627384.6408434,845384.3868936202,12.75
1,42.833333333333336,3842656.30406191,1.3634582864596838,185696951.5920093,845384.3868936202,12.833333333333336
1,42.916666666666664,3842656.30406191,1.3634582864596838,187780315.65618297,845384.3868936202,12.916666666666664
1,43.0,3881082.8671025294,1.3770928693242808,189877568.81411782,853838.2307625564,13.0
1,43.083333333333336,3881082.8671025294,1.3770928693242808,191997257.50364116,853838.2307625564,13.083333333333336
1,43.166666666666664,3881082.8671025294,1.3770928693242808,194131077.45109466,853838.2307625564,13.166666666666664
1,43.25,3881082.8671025294,1.3770928693242808,196279122.8648645,853838.2307625564,13.25
1,43.333333333333336,3881082.8671025294,1.3770928693242808,198441488.58139282,853838.2307625564,13.333333333333336
1,43.416666666666664,3881082.8671025294,1.3770928693242808,200618270.06936467,853838.2307625564,13.416666666666664
1,43.5,3881082.8671025294,1.3770928693242808,202809563.43392298,853838.2307625564,13.5
1,43.583333333333336,3881082.8671025294,1.3770928693242808,205015465.4209117,853838.2307625564,13.583333333333336
1,43.666666666666664,3881082.8671025294,1.3770928693242808,207236073.421147,853838.2307625564,13.666666666666664
1,43.75,3881082.8671025294,1.3770928693242808,209471485.4747172,853838.2307625564,13.75
1,43.833333333333336,3881082.8671025294,1.3770928693242808,211721800.2753112,853838.2307625564,13.833333333333336
1,43.916666666666664,3881082.8671025294,1.3770928693242808,213987117.17457584,853838.2307625564,13.916666666666664
1,44.0,3919893.6957735545,1.3908637980175234,216267536.18650222,862376.613070182,14.0
1,44.083333333333336,3919893.6957735545,1.3908637980175234,218571696.37414908,862376.613070182,14.083333333333336
1,44.166666666666664,3919893.6957735545,1.3908637980175234,220891217.6297136,862376.613070182,14.166666666666664
1,44.25,3919893.6957735545,1.3908637980175234,223226202.3603152,862376.613070182,14.25
1,44.333333333333336,3919893.6957735545,1.3908637980175234,225576753.65578747,862376.613070182,14.333333333333336
1,44.416666666666664,3919893.6957735545,1.3908637980175234,227942975.29322955,862376.613070182,14.416666666666664
1,44.5,3919893.6957735545,1.3908637980175234,230324971.7415879,862376.613070182,14.5
1,44.583333333333336,3919893.6957735545,1.3908637980175234,232722848.16626868,862376.613070182,14.583333333333336
1,44.666666666666664,3919893.6957735545,1.3908637980175234,235136710.43378064,862376.613070182,14.666666666666664
1,44.75,3919893.6957735545,1.3908637980175234,237566665.11640936,862376.613070182,14.75
1,44.833333333333336,3919893.6957735545,1.3908637980175234,240012819.49692225,862376.613070182,14.833333333333336
1,44.916666666666664,3919893.6957735545,1.3908637980175234,242475281.57330525,862376.613070182,14.916666666666664
1,45.0,4355001.89600442,1.5452496795974688,244954160.0635308,958100.4171209723,15.0
